Census Block,Month,Avg. Temperature,Type of Robbery,Probability
8391001096,9,67,VEHICULAR HIJACKING,0
3201002021,9,67,AGGRAVATED,0
3201002021,9,67,ARMED,0.028571429
3201002021,9,67,ATTEMPT,0.971428571
3201002021,9,67,STRONGARM - NO WEAPON,0
3201002021,9,67,VEHICULAR HIJACKING,0
8391001093,9,67,AGGRAVATED,0
8391001093,9,67,ARMED,0.028571429
8391001093,9,67,ATTEMPT,0.971428571
8391001093,9,67,STRONGARM - NO WEAPON,0
8391001093,9,67,VEHICULAR HIJACKING,0
3201002034,9,67,AGGRAVATED,0
3201002034,9,67,ARMED,0.028571429
3201002034,9,67,ATTEMPT,0.971428571
3201002034,9,67,STRONGARM - NO WEAPON,0
3201002034,9,67,VEHICULAR HIJACKING,0
3201002023,9,67,AGGRAVATED,0
3201002023,9,67,ARMED,0.028571429
3201002023,9,67,ATTEMPT,0.971428571
3201002023,9,67,STRONGARM - NO WEAPON,0
3201002023,9,67,VEHICULAR HIJACKING,0
3204001020,9,67,AGGRAVATED,0
3204001020,9,67,ARMED,0.028571429
3204001020,9,67,ATTEMPT,0.971428571
3204001020,9,67,STRONGARM - NO WEAPON,0
3204001020,9,67,VEHICULAR HIJACKING,0
8391002021,9,67,AGGRAVATED,0
8391002021,9,67,ARMED,0.028571429
8391002021,9,67,ATTEMPT,0.971428571
8391002021,9,67,STRONGARM - NO WEAPON,0
8391002021,9,67,VEHICULAR HIJACKING,0
8391002008,8,73,AGGRAVATED,0
8391002008,8,73,ARMED,0.028571429
8391002008,8,73,ATTEMPT,0.971428571
8391002008,8,73,STRONGARM - NO WEAPON,0
8391002008,8,73,VEHICULAR HIJACKING,0
8391002000,8,73,AGGRAVATED,0
8391002000,8,73,ARMED,0.028571429
8391002000,8,73,ATTEMPT,0.971428571
8391002000,8,73,STRONGARM - NO WEAPON,0
8391002000,8,73,VEHICULAR HIJACKING,0
2801001025,8,73,AGGRAVATED,0
2801001025,8,73,ARMED,0.028571429
2801001025,8,73,ATTEMPT,0.971428571
2801001025,8,73,STRONGARM - NO WEAPON,0
2801001025,8,73,VEHICULAR HIJACKING,0
3301001001,8,73,AGGRAVATED,0
3301001001,8,73,ARMED,0.028571429
3301001001,8,73,ATTEMPT,0.971428571
3301001001,8,73,STRONGARM - NO WEAPON,0
3301001001,8,73,VEHICULAR HIJACKING,0
