year,business_type,business_name,address,has_tobacco_license,has_liquor_license,crime_type,#crimes,#arrests,#OnPremises
2016,c,REGENT ENTERTAINMENT INCORPORATED,1106-1108 W RANDOLPH ST 1ST,0,1,THEFT,1,0,0
2014,c,REGENT ENTERTAINMENT INCORPORATED,1106-1108 W RANDOLPH ST 1ST,0,1,DECEPTIVE PRACTICE,1,0,0
2014,c,REGENT ENTERTAINMENT INCORPORATED,1106-1108 W RANDOLPH ST 1ST,0,1,INTERFERENCE WITH PUBLIC OFFICER,1,0,0
2006,c,REGENT ENTERTAINMENT INCORPORATED,1106-1108 W RANDOLPH ST 1ST,0,1,THEFT,2,0,0
2004,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,ASSAULT,1,1,0
2004,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,BATTERY,1,0,0
2004,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL TRESPASS,1,1,0
2004,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,2,1,0
2010,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,ASSAULT,1,0,0
2010,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,OTHER OFFENSE,1,0,0
2010,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,2,1,0
2010,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,NARCOTICS,1,1,0
2010,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,DECEPTIVE PRACTICE,1,0,0
2007,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,BATTERY,1,1,0
2007,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL TRESPASS,1,1,0
2007,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,1,1,0
2002,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,DECEPTIVE PRACTICE,1,0,0
2002,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,1,0,0
2002,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL DAMAGE,1,0,0
2003,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,ASSAULT,1,1,0
2003,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,BATTERY,1,1,0
2003,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,2,1,0
2003,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL DAMAGE,1,0,0
2006,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL TRESPASS,1,1,0
2006,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,3,1,0
2012,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,ASSAULT,1,0,0
2012,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,CRIMINAL TRESPASS,1,1,0
2012,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,THEFT,1,0,0
2012,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,NARCOTICS,1,1,0
2012,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,DECEPTIVE PRACTICE,1,0,0
2005,c,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,1,0,BATTERY,1,0,0
2011,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,BATTERY,1,1,0
2011,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,THEFT,2,1,0
2011,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,NARCOTICS,1,1,0
2011,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,ROBBERY,1,0,0
2006,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,CRIMINAL TRESPASS,1,1,0
2006,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,THEFT,3,1,0
2007,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,BATTERY,1,1,0
2007,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,CRIMINAL TRESPASS,1,1,0
2007,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,THEFT,1,1,0
2004,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,ASSAULT,1,1,0
2004,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,BATTERY,1,0,0
2004,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,CRIMINAL TRESPASS,1,1,0
2004,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,THEFT,2,1,0
2003,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,ASSAULT,1,1,0
2003,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,BATTERY,1,1,0
2003,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,THEFT,2,1,0
2003,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,CRIMINAL DAMAGE,1,0,0
2005,c,"HDS Retail North America, LP",111 E WACKER DR 1ST,1,0,BATTERY,1,0,0
2003,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,1,0,0
2007,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,DECEPTIVE PRACTICE,2,0,0
2007,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,1,0,0
2010,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,2,0,0
2010,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,CRIMINAL DAMAGE,1,0,0
2012,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,ASSAULT,1,0,0
2012,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,PUBLIC PEACE VIOLATION,1,1,0
2012,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,1,0,0
2005,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,1,0,0
2014,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,DECEPTIVE PRACTICE,3,0,0
2014,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,THEFT,1,0,0
2004,c,MIDWEST CONVENIENCE CENTER #7,111 N CANAL ST # 1ST,1,0,BATTERY,1,1,0
2012,c,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,0,1,CRIMINAL TRESPASS,1,1,0
2012,c,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,0,1,NARCOTICS,1,1,0
2003,c,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,0,1,THEFT,1,1,0
2014,c,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,0,1,DECEPTIVE PRACTICE,1,0,0
2003,c,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,0,1,THEFT,1,1,0
2014,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,DECEPTIVE PRACTICE,3,0,0
2014,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,OTHER OFFENSE,1,0,0
2014,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,1,0,0
2004,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ASSAULT,1,1,0
2004,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,1,1,0
2004,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,2,1,0
2006,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,1,1,0
2016,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,CRIMINAL DAMAGE,1,0,0
2016,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ASSAULT,1,0,0
2016,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,3,1,0
2016,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,3,1,0
2016,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ROBBERY,2,1,0
2005,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,DECEPTIVE PRACTICE,1,0,0
2005,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,1,0,0
2012,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ASSAULT,1,0,0
2012,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,2,1,0
2012,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,3,0,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,1,0,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,NARCOTICS,1,1,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ASSAULT,1,0,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ROBBERY,1,0,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,PUBLIC PEACE VIOLATION,2,0,0
2010,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,3,0,0
2003,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,ASSAULT,1,1,0
2003,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,2,0,0
2007,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,DECEPTIVE PRACTICE,1,1,0
2007,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,BATTERY,1,1,0
2007,c,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,1,0,THEFT,4,2,0
2002,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,4,0,0
2002,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,CRIMINAL DAMAGE,1,0,0
2006,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,1,1,0
2018,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,0,0
2018,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,OTHER OFFENSE,1,0,0
2018,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,2,0,0
2018,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,3,0,0
2018,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,DECEPTIVE PRACTICE,2,0,0
2016,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,CRIMINAL DAMAGE,1,0,0
2016,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,0,0
2016,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,3,1,0
2016,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,3,1,0
2016,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ROBBERY,2,1,0
2012,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,0,0
2012,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,2,1,0
2012,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,3,0,0
2007,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,DECEPTIVE PRACTICE,1,1,0
2007,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,1,1,0
2007,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,4,2,0
2004,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,1,0
2004,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,1,1,0
2004,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,2,1,0
2003,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,1,0
2003,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,2,0,0
2014,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,DECEPTIVE PRACTICE,3,0,0
2014,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,OTHER OFFENSE,1,0,0
2014,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,1,0,0
2003,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,1,0
2003,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,2,0,0
2005,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,DECEPTIVE PRACTICE,1,0,0
2005,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,1,0,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,BATTERY,1,0,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,NARCOTICS,1,1,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ASSAULT,1,0,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,ROBBERY,1,0,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,PUBLIC PEACE VIOLATION,2,0,0
2010,a,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,0,0,THEFT,3,0,0
2011,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,ASSAULT,2,1,0
2011,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,ROBBERY,3,0,0
2011,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,THEFT,3,1,0
2011,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,NARCOTICS,2,2,0
2007,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,DECEPTIVE PRACTICE,1,1,0
2007,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,BATTERY,1,1,0
2007,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,CRIMINAL TRESPASS,1,1,0
2007,c,PARSHV ENTERPRISE INC.,111 N WABASH AVE  101,1,0,THEFT,3,2,0
2006,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,BATTERY,1,1,0
2006,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,CRIMINAL TRESPASS,1,1,0
2006,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,THEFT,1,0,0
2003,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,ASSAULT,1,1,0
2003,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,BATTERY,1,1,0
2003,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,THEFT,3,1,0
2005,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,DECEPTIVE PRACTICE,1,0,0
2005,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,BATTERY,1,0,0
2004,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,ASSAULT,1,1,0
2004,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,BATTERY,1,1,0
2004,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,CRIMINAL TRESPASS,1,1,0
2004,c,K C I ENTERPRISE-1 INC,111 N WABASH AVE  LOBBY,1,0,THEFT,2,1,0
2016,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,CRIMINAL DAMAGE,1,0,0
2016,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,ASSAULT,1,0,0
2016,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,BATTERY,4,1,0
2016,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,THEFT,3,1,0
2016,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,ROBBERY,2,1,0
2012,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,ASSAULT,1,0,0
2012,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,BATTERY,2,1,0
2012,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,THEFT,3,0,0
2012,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,NARCOTICS,1,1,0
2014,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,DECEPTIVE PRACTICE,2,0,0
2014,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,OTHER OFFENSE,1,0,0
2014,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,THEFT,1,0,0
2018,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,ASSAULT,1,0,0
2018,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,OTHER OFFENSE,1,0,0
2018,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,BATTERY,1,0,0
2018,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,THEFT,3,0,0
2018,c,CHICAGO METRO MART INC.,111 N WABASH AVE 1 100,1,0,DECEPTIVE PRACTICE,3,0,0
2012,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,ASSAULT,1,0,0
2012,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,BATTERY,1,0,0
2012,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,PUBLIC PEACE VIOLATION,1,1,0
2012,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,THEFT,1,0,0
2016,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,CRIMINAL DAMAGE,2,0,0
2016,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,BATTERY,1,0,0
2016,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,ROBBERY,1,0,0
2010,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,THEFT,3,0,0
2018,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,DECEPTIVE PRACTICE,1,0,0
2018,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,OTHER OFFENSE,2,0,0
2018,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,BATTERY,1,0,0
2018,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,THEFT,1,0,0
2014,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,DECEPTIVE PRACTICE,2,0,0
2014,c,"MUNCHIES, INC.",111 S WACKER DR 1ST N LOBBY,1,0,OTHER OFFENSE,1,0,0
2003,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,THEFT,1,0,0
2002,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,OTHER OFFENSE,1,0,0
2002,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,PUBLIC PEACE VIOLATION,1,0,0
2002,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,THEFT,9,1,0
2002,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,CRIMINAL TRESPASS,1,1,0
2006,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,BATTERY,1,1,0
2007,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,DECEPTIVE PRACTICE,2,1,0
2007,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,THEFT,4,2,0
2005,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,DECEPTIVE PRACTICE,1,0,0
2004,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,ASSAULT,2,2,0
2004,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,BATTERY,1,1,0
2004,c,ELEPHANT & CASTLE (CHICAGO) CORPORATION,111 W ADAMS ST,1,0,THEFT,1,1,0
2005,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,DECEPTIVE PRACTICE,1,0,0
2006,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,BATTERY,1,1,0
2003,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,THEFT,1,0,0
2004,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,ASSAULT,1,1,0
2004,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,BATTERY,1,1,0
2004,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,THEFT,2,1,0
2007,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,DECEPTIVE PRACTICE,1,1,0
2007,c,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,1,0,THEFT,2,1,0
2007,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,DECEPTIVE PRACTICE,1,1,0
2007,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,THEFT,2,1,0
2003,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,THEFT,1,0,0
2003,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,THEFT,1,0,0
2006,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,BATTERY,1,1,0
2002,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,OTHER OFFENSE,1,0,0
2002,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,PUBLIC PEACE VIOLATION,1,0,0
2002,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,THEFT,5,1,0
2002,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,CRIMINAL TRESPASS,1,1,0
2004,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,ASSAULT,1,1,0
2004,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,BATTERY,1,1,0
2004,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,THEFT,2,1,0
2005,a,AMERICAN DRUG STORES LLC,111 W JACKSON BLVD,0,0,DECEPTIVE PRACTICE,1,0,0
2005,c,NISHO INC,111 W JACKSON BLVD,1,0,DECEPTIVE PRACTICE,1,0,0
2003,c,NISHO INC,111 W JACKSON BLVD,1,0,THEFT,1,0,0
2007,c,NISHO INC,111 W JACKSON BLVD,1,0,DECEPTIVE PRACTICE,1,1,0
2007,c,NISHO INC,111 W JACKSON BLVD,1,0,THEFT,2,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,ASSAULT,1,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,BATTERY,1,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,THEFT,2,1,0
2006,c,NISHO INC,111 W JACKSON BLVD,1,0,BATTERY,1,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,ASSAULT,1,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,BATTERY,1,1,0
2004,c,NISHO INC,111 W JACKSON BLVD,1,0,THEFT,2,1,0
2016,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,MOTOR VEHICLE THEFT,1,0,0
2016,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,BATTERY,3,1,0
2016,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,THEFT,1,1,0
2016,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,CRIMINAL DAMAGE,3,0,0
2014,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,DECEPTIVE PRACTICE,1,0,0
2014,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,OTHER OFFENSE,2,0,0
2014,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,THEFT,1,0,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,LIQUOR LAW VIOLATION,1,1,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,BATTERY,3,0,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,DECEPTIVE PRACTICE,2,0,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,OTHER OFFENSE,2,0,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,ROBBERY,1,0,0
2018,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,THEFT,1,0,0
2012,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,DECEPTIVE PRACTICE,1,1,0
2012,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,BATTERY,3,1,0
2012,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,THEFT,2,0,0
2012,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,BURGLARY,1,0,0
2010,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,BATTERY,1,0,0
2010,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,PUBLIC PEACE VIOLATION,2,0,0
2010,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,THEFT,5,0,0
2010,c,"NORIN, INC.",111 W JACKSON BLVD 1,1,0,NARCOTICS,1,1,0
2006,c,GIRIRAJ INC,111 W MONROE ST,1,0,BATTERY,1,1,0
2007,c,GIRIRAJ INC,111 W MONROE ST,1,0,DECEPTIVE PRACTICE,2,1,0
2007,c,GIRIRAJ INC,111 W MONROE ST,1,0,THEFT,5,2,0
2005,c,GIRIRAJ INC,111 W MONROE ST,1,0,DECEPTIVE PRACTICE,1,0,0
2004,c,GIRIRAJ INC,111 W MONROE ST,1,0,ASSAULT,2,2,0
2004,c,GIRIRAJ INC,111 W MONROE ST,1,0,BATTERY,1,1,0
2004,c,GIRIRAJ INC,111 W MONROE ST,1,0,THEFT,2,1,0
2003,c,GIRIRAJ INC,111 W MONROE ST,1,0,THEFT,1,0,0
2018,c,NAYAK PROPERTIES LLC,111 W MONROE ST 1 1,1,0,LIQUOR LAW VIOLATION,1,1,0
2018,c,NAYAK PROPERTIES LLC,111 W MONROE ST 1 1,1,0,BATTERY,3,0,0
